category,image_path,ground_truth,predicted,score,defect_type
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\009.png,good,FAIL,5.6831,Bent Wire
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\010.png,good,FAIL,6.0079,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\011.png,good,FAIL,5.5727,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\012.png,good,FAIL,5.7468,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\013.png,good,FAIL,5.2621,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\014.png,good,FAIL,6.0063,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\016.png,good,FAIL,5.5383,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\017.png,good,FAIL,5.7315,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\018.png,good,FAIL,5.6397,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\019.png,good,FAIL,4.8618,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\020.png,good,FAIL,4.5656,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\021.png,good,FAIL,6.2655,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\022.png,good,FAIL,5.5621,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\023.png,good,FAIL,4.6686,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\024.png,good,FAIL,4.8977,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\025.png,good,FAIL,5.0211,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\026.png,good,FAIL,6.4262,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\027.png,good,FAIL,5.4943,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\028.png,good,FAIL,6.0295,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\029.png,good,FAIL,4.6696,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\030.png,good,FAIL,4.6536,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\031.png,good,FAIL,5.7143,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\032.png,good,FAIL,4.423,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\033.png,good,FAIL,4.455,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\034.png,good,FAIL,6.2229,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\035.png,good,FAIL,4.0265,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\036.png,good,FAIL,7.7347,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\037.png,good,FAIL,4.8113,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\038.png,good,FAIL,4.8515,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\039.png,good,FAIL,6.8624,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\040.png,good,FAIL,4.6021,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\041.png,good,FAIL,9.6575,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\042.png,good,FAIL,5.9359,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\043.png,good,FAIL,3.9913,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\044.png,good,FAIL,5.1863,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\045.png,good,FAIL,7.3407,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\046.png,good,FAIL,7.388,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\047.png,good,FAIL,6.3163,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\048.png,good,FAIL,6.4191,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\049.png,good,FAIL,6.7982,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\050.png,good,FAIL,4.7224,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\051.png,good,FAIL,4.6149,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\052.png,good,FAIL,6.0458,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\053.png,good,FAIL,5.1101,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\054.png,good,FAIL,4.3891,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\055.png,good,FAIL,5.622,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\056.png,good,FAIL,6.1799,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\good\057.png,good,FAIL,7.1708,Combined
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_cable\001.png,missing_cable,PASS,3.2659,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_cable\006.png,missing_cable,PASS,2.5427,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_cable\008.png,missing_cable,PASS,3.4326,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_wire\000.png,missing_wire,PASS,3.6375,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_wire\001.png,missing_wire,PASS,3.5537,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\missing_wire\003.png,missing_wire,PASS,3.6128,None
cable,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\cable\test\poke_insulation\005.png,poke_insulation,PASS,3.711,None
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\000.png,good,FAIL,10.8337,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\001.png,good,FAIL,10.5559,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\002.png,good,FAIL,9.7309,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\003.png,good,FAIL,9.988,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\004.png,good,FAIL,11.1537,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\005.png,good,FAIL,10.6501,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\006.png,good,FAIL,10.6721,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\007.png,good,FAIL,9.3382,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\008.png,good,FAIL,10.2813,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\009.png,good,FAIL,11.1163,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\010.png,good,FAIL,10.1733,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\011.png,good,FAIL,10.2541,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\012.png,good,FAIL,10.8568,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\013.png,good,FAIL,11.462,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\014.png,good,FAIL,12.1797,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\015.png,good,FAIL,11.0013,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\016.png,good,FAIL,10.165,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\017.png,good,FAIL,11.3579,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\018.png,good,FAIL,10.0588,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\019.png,good,FAIL,10.4488,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\020.png,good,FAIL,11.413,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\021.png,good,FAIL,11.079,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\good\022.png,good,FAIL,12.4169,Faulty Imprint
capsule,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\capsule\test\squeeze\001.png,squeeze,PASS,8.4589,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\001.png,color,PASS,1.2241,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\002.png,color,PASS,1.3519,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\007.png,color,PASS,1.2853,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\009.png,color,PASS,1.4066,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\011.png,color,PASS,1.3432,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\012.png,color,PASS,1.3383,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\013.png,color,PASS,1.3596,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\014.png,color,PASS,1.436,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\015.png,color,PASS,1.3743,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\016.png,color,PASS,1.4381,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\color\017.png,color,PASS,1.3259,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\003.png,cut,PASS,1.3909,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\005.png,cut,PASS,1.3494,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\006.png,cut,PASS,1.4035,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\007.png,cut,PASS,1.274,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\008.png,cut,PASS,1.4584,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\010.png,cut,PASS,1.3487,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\011.png,cut,PASS,1.3777,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\cut\014.png,cut,PASS,1.4331,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\good\002.png,good,FAIL,1.5239,Color
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\good\008.png,good,FAIL,1.6824,Color
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\good\021.png,good,FAIL,1.5521,Color
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\good\024.png,good,FAIL,1.5033,Color
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\001.png,hole,PASS,1.2549,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\002.png,hole,PASS,1.4613,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\003.png,hole,PASS,1.3443,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\004.png,hole,PASS,1.3196,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\005.png,hole,PASS,1.1919,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\006.png,hole,PASS,1.2533,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\007.png,hole,PASS,1.3045,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\009.png,hole,PASS,1.375,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\010.png,hole,PASS,1.3452,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\011.png,hole,PASS,1.4354,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\013.png,hole,PASS,1.4198,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\015.png,hole,PASS,1.3138,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\hole\016.png,hole,PASS,1.3685,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\003.png,metal_contamination,PASS,1.3675,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\004.png,metal_contamination,PASS,1.3615,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\005.png,metal_contamination,PASS,1.2586,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\006.png,metal_contamination,PASS,1.2871,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\007.png,metal_contamination,PASS,1.3731,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\008.png,metal_contamination,PASS,1.3159,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\009.png,metal_contamination,PASS,1.4708,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\010.png,metal_contamination,PASS,1.4257,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\011.png,metal_contamination,PASS,1.2014,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\012.png,metal_contamination,PASS,1.2493,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\013.png,metal_contamination,PASS,1.3751,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\014.png,metal_contamination,PASS,1.2467,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\015.png,metal_contamination,PASS,1.4362,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\metal_contamination\016.png,metal_contamination,PASS,1.3928,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\001.png,thread,PASS,1.3995,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\002.png,thread,PASS,1.309,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\009.png,thread,PASS,1.3554,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\010.png,thread,PASS,1.2201,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\011.png,thread,PASS,1.3127,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\014.png,thread,PASS,1.2945,None
carpet,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\carpet\test\thread\018.png,thread,PASS,1.3654,None
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\bent\010.png,bent,PASS,1.5791,None
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\glue\010.png,glue,PASS,1.6137,None
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\000.png,good,FAIL,2.9469,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\001.png,good,FAIL,3.0115,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\002.png,good,FAIL,2.1629,Thread
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\003.png,good,FAIL,2.6882,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\004.png,good,FAIL,2.7125,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\006.png,good,FAIL,1.9529,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\007.png,good,FAIL,2.6967,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\008.png,good,FAIL,2.0612,Thread
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\009.png,good,FAIL,2.5036,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\010.png,good,FAIL,1.8316,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\011.png,good,FAIL,1.9907,Glue
grid,c:\Users\ASUS\Desktop\AI infosys\visioninspect-ai\dataset\mvtec_ad\grid\test\good\012.png,good,FAIL,2.568,Glue
